3
18
(0, 1, 0, 1, array([1., 0.]), array([0.33333333, 0.33333333]), 0)
(0, 2, 0, 2, array([0.5      , 0.8660254]), array([ 0.66666667, -0.33333333]), 2)
(0, 13, 0, 1, array([-0.5      ,  0.8660254]), array([ 0.33333333, -0.66666667]), 0)
(0, 16, 0, 1, array([-0.5      , -0.8660254]), array([-0.66666667,  0.33333333]), 0)
(0, 17, 0, 2, array([-1.,  0.]), array([-0.33333333, -0.33333333]), 2)
(0, 20, 0, 2, array([ 0.5      , -0.8660254]), array([-0.33333333,  0.66666667]), 2)
(1, 0, 1, 0, array([-1.,  0.]), array([-0.33333333, -0.33333333]), 0)
(1, 2, 1, 2, array([-0.5      ,  0.8660254]), array([ 0.33333333, -0.66666667]), 1)
(1, 3, 1, 0, array([ 0.5      , -0.8660254]), array([-0.33333333,  0.66666667]), 0)
(1, 5, 1, 2, array([1., 0.]), array([0.33333333, 0.33333333]), 1)
(1, 6, 1, 0, array([0.5      , 0.8660254]), array([ 0.66666667, -0.33333333]), 0)
(1, 20, 1, 2, array([-0.5      , -0.8660254]), array([-0.66666667,  0.33333333]), 1)
(2, 0, 2, 0, array([-0.5      , -0.8660254]), array([-0.66666667,  0.33333333]), 2)
(2, 1, 2, 1, array([ 0.5      , -0.8660254]), array([-0.33333333,  0.66666667]), 1)
(2, 6, 2, 0, array([1., 0.]), array([0.33333333, 0.33333333]), 2)
(2, 9, 2, 0, array([-0.5      ,  0.8660254]), array([ 0.33333333, -0.66666667]), 2)
(2, 10, 2, 1, array([0.5      , 0.8660254]), array([ 0.66666667, -0.33333333]), 1)
(2, 13, 2, 1, array([-1.,  0.]), array([-0.33333333, -0.33333333]), 1)
