# iter A1_real A1_imag B1 lambda obj
1 0.000000000000e+00 5.400000000000e-01 3.000000000000e-01 1.078791971840e+00 6.688215962122e+00
2 0.000000000000e+00 5.670000000000e-01 3.000000000000e-01 1.133819114020e+00 6.562927400176e+00
3 0.000000000000e+00 5.400000000000e-01 3.150000000000e-01 1.077829618894e+00 6.668109314788e+00
4 0.000000000000e+00 5.670000000000e-01 3.150000000000e-01 1.132731567794e+00 6.544679890464e+00
5 0.000000000000e+00 5.805000000000e-01 3.225000000000e-01 1.159701369688e+00 6.473627101469e+00
6 0.000000000000e+00 6.075000000000e-01 3.075000000000e-01 1.215918534904e+00 6.365564658571e+00
7 0.000000000000e+00 6.412500000000e-01 3.037500000000e-01 1.285299298747e+00 6.211665790396e+00
8 0.000000000000e+00 6.547500000000e-01 3.262500000000e-01 1.310925728795e+00 6.127377179811e+00
9 0.000000000000e+00 6.986250000000e-01 3.393750000000e-01 1.399533557771e+00 5.913857959885e+00
10 0.000000000000e+00 7.593750000000e-01 3.206250000000e-01 1.525946636049e+00 5.650638320831e+00
11 0.000000000000e+00 8.488125000000e-01 3.196875000000e-01 1.709997585916e+00 5.247685674367e+00
12 0.000000000000e+00 9.061875000000e-01 3.553125000000e-01 1.823963984338e+00 4.974486733233e+00
13 0.000000000000e+00 1.038656250000e+00 3.810937500000e-01 2.093649677551e+00 4.402284414307e+00
14 0.000000000000e+00 1.188843750000e+00 3.614062500000e-01 2.405885868094e+00 3.811611354243e+00
15 0.000000000000e+00 1.433953125000e+00 3.724218750000e-01 2.910723562344e+00 2.919781279367e+00
16 0.000000000000e+00 1.623796875000e+00 4.338281250000e-01 3.294355665891e+00 2.297512267570e+00
17 0.000000000000e+00 2.011289062500e+00 4.908984375000e-01 4.087190664292e+00 1.272649131330e+00
18 0.000000000000e+00 2.406585937500e+00 4.822265625000e-01 4.906312215694e+00 5.387570762458e-01
19 0.000000000000e+00 3.090550781250e+00 5.327929687500e-01 6.314304714937e+00 4.496349712796e-03
20 0.000000000000e+00 3.667886718750e+00 6.512695312500e-01 7.490843534627e+00 3.039870976350e-01
21 0.000000000000e+00 4.747148437500e+00 6.931640625000e-01 9.719175592776e+00 2.619146847507e+00
22 0.000000000000e+00 2.695253906250e+00 5.414648437500e-01 5.494604516164e+00 2.011527984360e-01
23 0.000000000000e+00 2.117917968750e+00 4.229882812500e-01 4.318020079314e+00 1.050062968496e+00
24 0.000000000000e+00 3.280394531250e+00 5.941992187500e-01 6.697618131750e+00 3.059484600383e-02
25 0.000000000000e+00 3.675691406250e+00 5.855273437500e-01 7.517545964089e+00 2.947424622098e-01
26 0.000000000000e+00 2.940363281250e+00 5.524804687500e-01 6.000242456044e+00 4.430504344666e-02
27 0.000000000000e+00 3.430582031250e+00 5.745117187500e-01 7.011728003174e+00 9.102931859975e-02
28 0.000000000000e+00 3.062917968750e+00 5.579882812500e-01 6.253091045175e+00 1.091683394741e-02
29 0.000000000000e+00 2.873074218750e+00 4.965820312500e-01 5.869773871927e+00 7.192803131056e-02
30 0.000000000000e+00 3.178564453125e+00 5.697949218750e-01 6.490653705100e+00 8.000145285110e-03
31 0.000000000000e+00 3.206197265625e+00 5.445996093750e-01 6.551881811173e+00 7.327589134834e-03
32 0.000000000000e+00 3.118183593750e+00 5.075976562500e-01 6.375569269781e+00 8.793234632039e-04
33 0.000000000000e+00 3.087993164063e+00 4.764990234375e-01 6.318083739727e+00 3.026651824099e-03
34 0.000000000000e+00 3.002537109375e+00 4.957910156250e-01 6.137982721351e+00 1.930160341362e-02
35 0.000000000000e+00 3.155282226563e+00 5.323974609375e-01 6.448405931455e+00 2.088272126355e-03
36 0.000000000000e+00 3.182915039063e+00 5.072021484375e-01 6.509688832129e+00 2.047873003966e-03
37 0.000000000000e+00 3.145816406250e+00 4.824023437500e-01 6.436882697584e+00 6.670757990284e-05
38 0.000000000000e+00 3.141083496094e+00 4.574047851563e-01 6.431169005454e+00 1.033812318531e-03
39 0.000000000000e+00 3.081084960938e+00 4.827978515625e-01 6.302752145180e+00 3.685949257383e-03
40 0.000000000000e+00 3.157457519531e+00 5.011010742188e-01 6.457954319014e+00 3.990296388806e-04
41 0.000000000000e+00 3.185090332031e+00 4.759057617188e-01 6.519287918512e+00 2.076924327366e-03
42 0.000000000000e+00 3.134910278320e+00 4.996746826172e-01 6.411489879333e+00 1.524233345538e-04
43 0.000000000000e+00 3.123269165039e+00 4.809759521484e-01 6.390416345765e+00 4.020494325712e-04
44 0.000000000000e+00 3.148910430908e+00 4.960697937012e-01 6.441068717543e+00 1.026533718612e-04
45 0.000000000000e+00 3.159816558838e+00 4.787974548340e-01 6.466467519680e+00 4.462439123345e-04
46 0.000000000000e+00 3.141136848450e+00 4.944553756714e-01 6.425231156304e+00 2.739163011340e-05
47 0.000000000000e+00 3.138042823792e+00 4.807879257202e-01 6.421045430501e+00 8.528848248426e-05
48 0.000000000000e+00 3.140759725571e+00 4.846083927155e-01 6.426050320677e+00 2.270673239995e-05
49 0.000000000000e+00 3.136080167770e+00 4.966614246368e-01 6.414400848111e+00 8.416897242706e-05
50 0.000000000000e+00 3.143382346630e+00 4.859671139717e-01 6.431260963328e+00 1.474650951554e-05
51 0.000000000000e+00 3.143005223751e+00 4.761201310158e-01 6.432084837796e+00 1.783278967353e-04
52 0.000000000000e+00 3.141603942275e+00 4.898715645075e-01 6.426942817534e+00 3.789814659166e-07
