# Optimization log started at 2026-03-26T11:08:09.588542
# iter	A1_imag	B1	lambda	obj
1	5.400000000000e-01	3.000000000000e-01	9.735270636136e-01	8.452006697268e-03
2	5.670000000000e-01	3.000000000000e-01	1.043693872965e+00	1.139412583365e-02
3	5.400000000000e-01	3.150000000000e-01	9.510451119382e-01	1.174262008629e-02
4	5.670000000000e-01	2.850000000000e-01	1.066181584143e+00	9.049199503655e-03
5	5.400000000000e-01	2.850000000000e-01	9.960129146789e-01	5.992047963158e-03
6	5.265000000000e-01	2.775000000000e-01	9.721725588666e-01	4.011454773132e-03
7	4.995000000000e-01	2.925000000000e-01	8.795235663112e-01	5.491882421533e-03
8	4.860000000000e-01	2.700000000000e-01	8.781654962329e-01	2.280512098865e-03
9	4.590000000000e-01	2.550000000000e-01	8.304852129272e-01	2.066875533780e-03
10	4.860000000000e-01	2.400000000000e-01	9.231407511529e-01	2.322251389180e-04
11	4.792500000000e-01	2.137500000000e-01	9.449567840516e-01	4.236093932660e-04
12	4.185000000000e-01	2.175000000000e-01	7.814528455273e-01	5.489438922016e-03
13	4.995000000000e-01	2.625000000000e-01	9.244921011111e-01	1.492285659310e-03
14	5.265000000000e-01	2.475000000000e-01	1.017150496539e+00	1.508590977896e-03
15	5.096250000000e-01	2.493750000000e-01	9.704830296913e-01	8.013996715125e-04
16	4.961250000000e-01	2.268750000000e-01	9.691335176885e-01	7.862733327371e-06
17	4.944375000000e-01	2.090625000000e-01	9.914565623915e-01	4.046107806109e-04
18	4.725000000000e-01	2.175000000000e-01	9.217913643925e-01	5.475542341868e-04
19	4.817812500000e-01	2.254687500000e-01	9.339640804427e-01	1.379132316147e-04
20	4.919062500000e-01	2.123437500000e-01	9.799579172061e-01	2.774942347748e-04
21	4.874765625000e-01	2.330859375000e-01	9.373446066397e-01	6.813930485971e-05
22	5.018203125000e-01	2.344921875000e-01	9.725139603195e-01	1.203682311235e-04
23	4.968105468750e-01	2.322363281250e-01	9.628764759653e-01	3.421241380713e-05
24	5.054589843750e-01	2.260253906250e-01	9.946656157914e-01	1.436508993129e-04
25	4.919721679688e-01	2.313208007812e-01	9.516747582638e-01	1.699142590942e-05
26	4.912866210938e-01	2.259594726562e-01	9.579317786425e-01	8.351844847584e-06
27	4.954394531250e-01	2.215136718750e-01	9.753906814112e-01	4.938524299211e-05
28	4.928389892578e-01	2.288690185547e-01	9.576036832627e-01	1.792795796255e-06
29	4.976773681641e-01	2.297845458984e-01	9.688054150856e-01	2.198620440827e-05
30	4.928843078613e-01	2.269157409668e-01	9.606501855028e-01	1.160058680307e-06
31	4.895982971191e-01	2.289097595215e-01	9.491203744599e-01	1.595941123036e-05
32	4.944933242798e-01	2.273836898804e-01	9.641302208888e-01	1.220989825108e-06
33	4.945386428833e-01	2.254304122925e-01	9.671767434437e-01	7.530521574693e-06
34	4.932639026642e-01	2.280093669891e-01	9.599969406446e-01	1.039478450297e-07
